data,ora,utc,mercato,NORD,CNOR,CSUD,SUD,SICI,SARD,CALA
2024-01-01,00:00,2023-12-31T23:00:00Z,MGP,107.09,107.09,107.09,107.09,107.09,107.09,107.09
2024-01-01,01:00,2024-01-01T00:00:00Z,MGP,104.0,104.0,104.0,104.0,104.0,104.0,104.0
2024-01-01,02:00,2024-01-01T01:00:00Z,MGP,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2024-01-01,03:00,2024-01-01T02:00:00Z,MGP,85.66,85.66,85.66,85.66,85.66,85.66,85.66
2024-01-01,04:00,2024-01-01T03:00:00Z,MGP,85.0,85.0,85.0,85.0,85.0,85.0,85.0
2024-01-01,05:00,2024-01-01T04:00:00Z,MGP,85.53,85.53,85.53,85.53,85.53,85.53,85.53
2024-01-01,06:00,2024-01-01T05:00:00Z,MGP,95.07,95.07,95.07,95.07,95.07,95.07,95.07
2024-01-01,07:00,2024-01-01T06:00:00Z,MGP,104.07,104.07,104.07,104.07,104.07,104.07,104.07
2024-01-01,08:00,2024-01-01T07:00:00Z,MGP,106.95,106.95,106.95,106.95,106.95,106.95,106.95
2024-01-01,09:00,2024-01-01T08:00:00Z,MGP,107.08,107.08,107.08,107.08,107.08,107.08,107.08
2024-01-01,10:00,2024-01-01T09:00:00Z,MGP,104.0,104.0,104.0,104.0,104.0,104.0,104.0
2024-01-01,11:00,2024-01-01T10:00:00Z,MGP,98.13,98.13,98.13,98.13,98.13,98.13,98.13
2024-01-01,12:00,2024-01-01T11:00:00Z,MGP,101.55,101.55,101.55,101.55,101.55,101.55,101.55
2024-01-01,13:00,2024-01-01T12:00:00Z,MGP,98.16,98.16,98.16,98.16,98.16,98.16,98.16
2024-01-01,14:00,2024-01-01T13:00:00Z,MGP,98.17,98.17,98.17,98.17,98.17,98.17,98.17
2024-01-01,15:00,2024-01-01T14:00:00Z,MGP,105.54,105.54,105.54,105.54,105.54,105.54,105.54
2024-01-01,16:00,2024-01-01T15:00:00Z,MGP,110.0,110.0,110.0,110.0,110.0,110.0,110.0
2024-01-01,17:00,2024-01-01T16:00:00Z,MGP,120.04,120.04,120.04,120.04,120.04,120.04,120.04
2024-01-01,18:00,2024-01-01T17:00:00Z,MGP,131.5,131.5,131.5,131.5,131.5,131.5,131.5
2024-01-01,19:00,2024-01-01T18:00:00Z,MGP,132.0,132.0,132.0,132.0,132.0,132.0,132.0
2024-01-01,20:00,2024-01-01T19:00:00Z,MGP,127.75,127.75,127.75,127.75,127.75,127.75,127.75
2024-01-01,21:00,2024-01-01T20:00:00Z,MGP,113.48,113.48,113.48,113.48,113.48,113.48,113.48
2024-01-01,22:00,2024-01-01T21:00:00Z,MGP,109.18,109.18,109.18,109.18,109.18,109.18,109.18
